model,class,rank,voxel_index,mni_x,mni_y,mni_z,mean_abs_shap
ANN,Middle_Finger,2,105,-61.2,-17.1,36.7,0.02417258732020855
ANN,Middle_Finger,3,193,-59.6,-17.1,39.9,0.023459656164050102
ANN,Middle_Finger,4,159,-59.6,-21.9,41.5,0.02327810600399971
ANN,Middle_Finger,5,19,-64.4,-13.9,33.5,0.022571846842765808
ANN,Middle_Finger,6,59,-62.8,-15.5,41.5,0.020580798387527466
ANN,Middle_Finger,7,124,-61.2,-13.9,41.5,0.019829263910651207
ANN,Middle_Finger,8,119,-61.2,-13.9,33.5,0.01972470059990883
ANN,Middle_Finger,9,730,-51.6,-25.1,41.5,0.019532935693860054
ANN,Middle_Finger,10,286,-58.0,-21.9,41.5,0.018672924488782883
ANN,Hand,1,193,-59.6,-17.1,39.9,0.08227630704641342
ANN,Hand,2,425,-56.4,-21.9,41.5,0.034427400678396225
ANN,Hand,3,62,-62.8,-13.9,33.5,0.03407823294401169
ANN,Hand,4,335,-58.0,-17.1,39.9,0.03383753448724747
ANN,Hand,5,145,-61.2,-9.1,38.3,0.03354768082499504
ANN,Hand,6,286,-58.0,-21.9,41.5,0.03185253590345383
ANN,Hand,7,581,-54.8,-17.1,39.9,0.029507452622056007
ANN,Hand,8,559,-54.8,-20.3,41.5,0.027898281812667847
ANN,Hand,9,549,-54.8,-21.9,41.5,0.027473514899611473
ANN,Hand,10,333,-58.0,-17.1,36.7,0.027369970455765724
ANN,Forearm,1,193,-59.6,-17.1,39.9,0.05791673809289932
