experiment_id,architecture,hidden1,hidden2,weight_decay,dropout_rate,pca_components,learning_rate,mean_accuracy,std_accuracy,macro_sensitivity,macro_specificity,macro_precision,macro_f1,weighted_sensitivity,weighted_specificity,weighted_precision,weighted_f1,per_class_sensitivity,per_class_specificity,per_class_precision,per_class_f1,total_epochs,training_time_s,model_file,confusion_matrix_file
157,2-layer-PCA20,256,64,0.3,0.5,20,0.001,0.35624999999999996,0.05694020986965188,0.36086309523809523,0.7793372757756949,0.27304796918767504,0.26696799399804516,0.35625,0.7610991031027796,0.2564968487394958,0.25574701619778345,"[0.4166666666666667, 0.25, 0.5625, 0.21428571428571427]","[0.9191176470588236, 0.8046875, 0.5089285714285714, 0.8846153846153846]","[0.44345238095238093, 0.15357142857142858, 0.28088235294117647, 0.2142857142857143]","[0.3861111111111111, 0.16025641025641024, 0.3349498327759197, 0.1865546218487395]",1034,12.762162685394287,model_h256-64_wd0.3_dr0.5_pca20.pt,model_h256-64_wd0.3_dr0.5_pca20_confusion_matrix.npy
158,2-layer-PCA20,256,64,0.3,0.6,20,0.001,0.36875,0.0480071609241788,0.35379464285714285,0.7795152916936006,0.20981336074299461,0.24966756970116502,0.36875,0.7493111667744021,0.22678039161448776,0.2687110138377887,"[0.45833333333333337, 0.15625, 0.22916666666666669, 0.5714285714285714]","[0.8088235294117647, 0.921875, 0.8392857142857143, 0.5480769230769231]","[0.1545031055900621, 0.17708333333333331, 0.18990384615384615, 0.31776315789473686]","[0.22844827586206895, 0.16517857142857142, 0.20714285714285713, 0.39790057437116266]",1182,15.689461946487427,model_h256-64_wd0.3_dr0.6_pca20.pt,model_h256-64_wd0.3_dr0.6_pca20_confusion_matrix.npy
159,2-layer-PCA20,256,64,0.3,0.7,20,0.001,0.3625,0.057282196186948006,0.3723958333333333,0.7803169945862961,0.3086327685154916,0.2832786364763109,0.3625,0.7587679783451842,0.26774063782645013,0.26735049990863946,"[0.4583333333333333, 0.40625, 0.125, 0.5]","[0.9264705882352942, 0.6796875, 0.9285714285714286, 0.5865384615384616]","[0.7, 0.12658730158730158, 0.10714285714285714, 0.30080091533180775]","[0.4754689754689755, 0.18917710196779963, 0.11538461538461539, 0.3530838530838531]",1051,13.062957286834717,model_h256-64_wd0.3_dr0.7_pca20.pt,model_h256-64_wd0.3_dr0.7_pca20_confusion_matrix.npy
160,2-layer-PCA20,256,64,0.5,0.5,20,0.001,0.38749999999999996,0.021650635094610987,0.35974702380952384,0.7794016645119586,0.2583570075757576,0.27463256822272164,0.3875,0.7301066580478345,0.2549763257575758,0.2843382460581949,"[0.375, 0.15625, 0.3541666666666667, 0.5535714285714286]","[0.9191176470588236, 0.9375, 0.7321428571428571, 0.5288461538461539]","[0.328125, 0.20833333333333331, 0.19696969696969696, 0.3]","[0.31363636363636366, 0.1715686274509804, 0.23369565217391303, 0.37962962962962965]",1181,15.627309322357178,model_h256-64_wd0.5_dr0.5_pca20.pt,model_h256-64_wd0.5_dr0.5_pca20_confusion_matrix.npy
161,2-layer-PCA20,256,64,0.5,0.6,20,0.001,0.35,0.043301270189221926,0.33296130952380953,0.7691853183581125,0.2600479987198737,0.25972776641290196,0.35,0.7267412734324499,0.2515131116693617,0.2616551568696098,"[0.41666666666666663, 0.15625, 0.1875, 0.5714285714285714]","[0.9191176470588236, 0.84375, 0.7946428571428572, 0.5192307692307693]","[0.5076923076923077, 0.05, 0.0703125, 0.41218718718718717]","[0.42743221690590116, 0.07575757575757576, 0.10227272727272728, 0.4334485457154037]",841,11.602656841278076,model_h256-64_wd0.5_dr0.6_pca20.pt,model_h256-64_wd0.5_dr0.6_pca20_confusion_matrix.npy
162,2-layer-PCA20,256,64,0.5,0.7,20,0.001,0.3125,0.0625,0.36830357142857145,0.7777300824175825,0.35477332383957194,0.25098499284516596,0.3125,0.7984203296703296,0.3525353235763656,0.22327309789108143,"[0.625, 0.375, 0.4375, 0.03571428571428571]","[0.75, 0.71875, 0.6517857142857143, 0.9903846153846154]","[0.3725296442687747, 0.36063218390804597, 0.3109314671814672, 0.375]","[0.3933497536945813, 0.22135597135597138, 0.3246509129967777, 0.06458333333333333]",1018,15.35525894165039,model_h256-64_wd0.5_dr0.7_pca20.pt,model_h256-64_wd0.5_dr0.7_pca20_confusion_matrix.npy
163,2-layer-PCA20,128,32,0.2,0.5,20,0.001,0.375,0.025000000000000022,0.3404017857142857,0.7782628676470588,0.289373209162054,0.2621940226059219,0.375,0.7380514705882353,0.3327143581714983,0.2860183933153041,"[0.29166666666666663, 0.09375, 0.5833333333333333, 0.39285714285714285]","[0.9411764705882353, 0.921875, 0.49999999999999994, 0.75]","[0.25, 0.06818181818181818, 0.2436172385620915, 0.5956937799043063]","[0.26136363636363635, 0.07894736842105263, 0.33876811594202894, 0.3696969696969697]",1112,13.779770612716675,model_h128-32_wd0.2_dr0.5_pca20.pt,model_h128-32_wd0.2_dr0.5_pca20_confusion_matrix.npy
164,2-layer-PCA20,128,32,0.2,0.6,20,0.001,0.36874999999999997,0.03697549864437259,0.37797619047619047,0.7875070701357465,0.376032301032301,0.3120412190074969,0.36875,0.7812782805429863,0.3500815850815851,0.31096660016791866,"[0.4583333333333333, 0.375, 0.25, 0.42857142857142855]","[0.801470588235294, 0.78125, 0.875, 0.6923076923076923]","[0.4640151515151515, 0.48068181818181815, 0.22916666666666669, 0.3302655677655678]","[0.33915104503339794, 0.3074786324786325, 0.23878205128205127, 0.36275314723590585]",1269,16.255109310150146,model_h128-32_wd0.2_dr0.6_pca20.pt,model_h128-32_wd0.2_dr0.6_pca20_confusion_matrix.npy
165,2-layer-PCA20,128,32,0.2,0.7,20,0.001,0.375,0.017677669529663705,0.3270089285714286,0.7729198650614092,0.25875719868366925,0.24066593463409502,0.375,0.7166794602456366,0.2578434114904703,0.26053483959026413,"[0.29166666666666663, 0.03125, 0.3958333333333333, 0.5892857142857143]","[0.9191176470588234, 0.984375, 0.6785714285714286, 0.5096153846153846]","[0.29166666666666663, 0.25, 0.17166666666666666, 0.32169546140134375]","[0.28055555555555556, 0.05555555555555555, 0.23906048906048907, 0.38749213836477986]",875,10.776169776916504,model_h128-32_wd0.2_dr0.7_pca20.pt,model_h128-32_wd0.2_dr0.7_pca20_confusion_matrix.npy
166,2-layer-PCA20,128,32,0.3,0.5,20,0.001,0.3375,0.0673145600891813,0.341889880952381,0.7772288602941176,0.2340742955874535,0.2463810172538825,0.3375,0.7714154411764705,0.2497654173312068,0.2514812169698318,"[0.45833333333333337, 0.15625, 0.5208333333333334, 0.23214285714285715]","[0.7573529411764706, 0.9140625, 0.5625, 0.875]","[0.1875, 0.18055555555555555, 0.26710526315789473, 0.30113636363636365]","[0.2579365079365079, 0.16596638655462184, 0.3393989523021781, 0.2222222222222222]",956,12.487327098846436,model_h128-32_wd0.3_dr0.5_pca20.pt,model_h128-32_wd0.3_dr0.5_pca20_confusion_matrix.npy
167,2-layer-PCA20,128,32,0.3,0.6,20,0.001,0.3375,0.02795084971874737,0.40104166666666674,0.7831412613122173,0.293479982718894,0.2950812906171576,0.3375,0.7950650452488688,0.2693634792626728,0.25388296140134375,"[0.7083333333333334, 0.4375, 0.33333333333333337, 0.125]","[0.8308823529411765, 0.671875, 0.6875, 0.9423076923076923]","[0.5035714285714286, 0.21860119047619048, 0.16008064516129034, 0.29166666666666663]","[0.5606643356643357, 0.24264446793516564, 0.2140261627906977, 0.16299019607843138]",1093,13.3761727809906,model_h128-32_wd0.3_dr0.6_pca20.pt,model_h128-32_wd0.3_dr0.6_pca20_confusion_matrix.npy
